"","lon","lat"
"484",72.8656144,19.0895595
"485",-59.543198,13.193887
"486",-134.404891,58.2987346
"487",106.822745,-6.1744651
"488",-76.8207898,42.1297967
"489",-0.1277583,51.5073509
"490",-87.4052865,37.9444882
"491",-95.712891,37.09024
"492",-106.6055534,35.0853336
"493",-95.712891,37.09024
"494",-73.087749,41.6032207
"496",-79.0192997,35.7595731
"497",-68.0150659,10.2447917
"498",-104.990251,39.7392358
"499",-87.6297982,41.8781136
"500",-118.2436849,34.0522342
"501",-84.3879824,33.7489954
"503",-84.8319892,38.3229243
"504",-82.907123,40.4172871
"505",146.921099,-31.2532183
"506",-93.287858,44.952959
"508",-99.9018131,31.9685988
"509",76.7794179,30.7333148
"510",2.3522219,48.856614
"511",-80.1289321,26.3683064
"512",-78.4678382,-0.1806532
"513",-76.4859544,44.2311717
"514",-80.1917902,25.7616798
"515",-118.2436849,34.0522342
"516",-71.0588801,42.3600825
"517",-76.6412712,39.0457549
"518",-3.3821421,51.6858341
"519",-1.85754,53.72702
"520",-122.2363548,37.4852152
"521",-0.067204,52.969021
"522",-92.1004852,46.7866719
"523",-74.0059413,40.7127837
"524",-82.4571776,27.950575
"525",133.775136,-25.274398
"526",133.775136,-25.274398
"527",-79.3870749,9.0669877
"528",51.5310398,25.2854473
"529",-96.373747,30.6735749
"530",-111.7573521,32.8795022
"531",-106.7636538,32.3199396
"532",-43.1728965,-22.9068467
"533",-116.419389,38.8026097
"534",-0.1277583,51.5073509
"535",77.2090212,28.6139391
"537",-84.4382721,33.8498184
"540",-71.4128343,41.8239891
"541",-74.0059413,40.7127837
"542",-95.712891,37.09024
"543",-88.8766116,37.1398424
"544",-67.0345443,10.349223
"545",-77.043989,38.9098842
"547",76.7794179,30.7333148
"548",76.7794179,30.7333148
"550",-71.0782651,42.3473129
"554",-97.5164276,35.4675602
"555",-82.7873244,27.9094665
"556",-80.1449494,41.649349
"557",-99.9018131,31.9685988
"559",-118.2436849,34.0522342
"560",-84.7233143,45.0244775
"561",-78.6381787,35.7795897
"563",-58.443832,-23.442503
"564",-70.099451,41.2834704
"565",-120.9968782,37.6390972
"566",-74.0326395,40.9912087
"567",18.0685808,59.3293235
"568",-84.3879824,33.7489954
"569",-73.9788248,40.7521501
"571",-79.0849436,43.0895577
"572",19.699024,48.669026
"573",106.9755726,-6.2382699
"574",-80.1373174,26.1224386
"575",-71.2478251,42.0653812
"576",-74.0059413,40.7127837
"578",-105.7820674,39.5500507
"579",-106.6129085,35.0433333
"580",-2.2426305,53.4807593
"581",-0.540579,53.230688
"582",-71.0588801,42.3600825
"583",-118.2436849,34.0522342
"584",-82.499394,27.271076
"585",-75.5276699,38.9108325
"586",-71.2643465,42.0909458
"587",-111.0937311,39.3209801
"588",-95.712891,37.09024
"589",-115.1398296,36.1699412
"592",-2.277593,52.3417839
"593",3.3792057,6.5243793
"594",-71.0588801,42.3600825
"595",-87.8833991,42.0333623
"597",-82.3940104,34.8526176
"598",77.5945627,12.9715987
"599",-1.210218,51.7606008
"600",-0.0722785,51.6049674
"601",-87.771964,41.909611
"602",-80.0728201,26.4614625
"603",77.5945627,12.9715987
"605",-117.8531119,33.7877944
"606",-77.0368707,38.9071923
"607",77.2090212,28.6139391
"608",-16.2518467,28.4636296
"609",-3.7033725,40.4162883
"610",-80.258378,36.043226
"612",-86.3442107,34.3614336
"613",-95.3698028,29.7604267
"614",-81.5157535,27.6648274
"616",25.461839,35.293011
"617",-74.1723667,40.735657
"618",-83.9811014,34.1140497
"619",-75.1652215,39.9525839
"621",-122.3255254,37.5629917
"622",-0.1277583,51.5073509
"623",153.0251235,-27.4697707
"624",-0.1277583,51.5073509
"625",-90.1842764,38.8906038
"626",1.0990045,49.4367322
"627",-87.605462,38.759245
"628",-82.4571776,27.950575
"629",-95.3698028,29.7604267
"630",78.96288,20.593684
"631",-89.7678746,39.5008866
"632",0.5217254,51.2787075
"633",-0.1277583,51.5073509
"634",-88.2825668,42.0354084
"636",-102.4107493,34.2331373
"637",101.975766,4.210484
"639",-105.2551187,54.5259614
"640",-83.1497751,42.6064095
"641",-95.712891,37.09024
"642",-118.059801,33.974778
"643",-80.8431267,35.2270869
"644",-117.1610838,32.715738
"645",-75.1623841,39.9490387
"646",-118.2436849,34.0522342
"647",101.6533256,3.2535016
"648",-91.8318334,37.9642529
"649",-77.0368707,38.9071923
"650",-97.3307658,32.7554883
"651",-84.3879824,33.7489954
"652",-95.712891,37.09024
"653",8.185997,48.2774862
"654",2.213749,46.227638
"657",-99.9018131,31.9685988
"658",-84.3879824,33.7489954
"659",-102.552784,23.634501
"660",-76.4418868,41.6000752
"661",135.4523282,34.6830488
"662",-58.3815591,-34.6036844
"663",-75.111178,39.702349
"664",-58.5029706,-34.6572422
"665",-58.2546051,-34.7206336
"667",74.7863698,13.3605015
"668",-84.9123359,39.1680699
"670",44.3803921,35.4655761
"671",112.7520883,-7.2574719
"672",102.2153872,5.767933
"673",31.2357116,30.0444196
"674",42.590275,11.825138
"676",-82.2859247,27.937801
"677",138.252924,36.204824
"678",-105.7820674,39.5500507
"679",-118.2436849,34.0522342
"680",151.2092955,-33.8688197
"681",13.0816305,37.5085148
"682",-0.168749,50.8279319
"683",-86.3442107,34.3614336
"685",21.824312,39.074208
"687",-58.6741344,-34.634231
"689",-83.0146526,42.5144566
"690",100.5017651,13.7563309
